,									     Title, Technology Broad Category, Technology Mid-Type, Technology Sub-Type,Status,Description,Rated Power,Rated Energy,Duration,Modular,Latitude,Longitude,Image,Service / Use Cases,City,State,Country,Announced, Commissioned, Constructed, Decommissioned,isoRto,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Developer,Projected Project Lifetime (Years),Performance, Capital Expenditure,Operating Expense,Research Institution,Research Description,Last Updated,Black Start,Demand Response,Distribution upgrade due to solar,Distribution upgrade due to wind,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality),Grid-Connected Residential (Reliability),Load Following (Tertiary Balancing),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Ramping,Renewables Capacity Firming,Renewables Energy Time Shift,Resiliency,Stationary Transmission/Distribution Upgrade Deferral,Transmission Congestion Relief,Transmission Support,Transmission upgrades due to solar,Transmission upgrades due to wind,Transportable Transmission/Distribution Upgrade Deferral,Transportation Services,Voltage Support
68,Maxwell-China Guodin Wind Energy Storage System ,Electro-chemical,Electro-chemical Capacitor,Electro-chemical Capacitor,Announced,"Maxwell Technologies, Inc. (Nasdaq: MXWL), a leading developer and manufacturer of ultracapacitor-based energy storage and power delivery products, announced today its ultracapacitors have been selected by Beijing Huadian Tianren Electric Power Control Technology Co., Ltd., a subsidiary of China Guodian Corporation, as the core component of a wind farm energy storage demonstration project. One of the five largest power producers in the country, China Guodian Corporation&#039;s system is the first megawatt (MW)-scale, ultracapacitor-based wind farm energy storage system in the world.",1000.0,,,,37.463822,121.45,,"Renewables Capacity Firming, ",yantai,Shandong,China,19.01.2016,,,,,,,,,"Beijing Huadian Tianren Electric Power Control Technology Co., Ltd",0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,FerroSmartGrid - Recuperation/Interoperability Node,Electro-chemical,Electro-chemical Capacitor,Electro-chemical Capacitor,Operational,"FerroSmartGrid is a demonstration project that aims to achieve maximum efficiency in the railway infrastructure power grid. In order to do this, a new generation of railway smart nodes has been developed to enable interoperability between urban/interurban transportation systems, users and the railway infrastructure. Win Inertia, as a technological solutions provider, uses the same environmental technological concept developed in the Ferrolinera project to create smart nodes over the railway infrastructure.  The Recuperation node, which incorporates Win Inertia’s hybrid energy storage system, allows recovery of the energy generated by the braking action of a train, storing it in Maxwell ultracapacitors according to an energy management algorithms’ assessment of the needs of the system at any given point in time.   The Recuperation node can be converted into an Interoperability node by adding Win Inertia’s EV charging point, which draws its supply from the same recovered energy from the braking process.",50.0,,,,36.708613299999996,-4.44,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Capacity Firming, Transportation Services, Voltage Support, Microgrid Capability, ",Málaga,Málaga,Spain,01.02.2012,01.06.2015,14.01.2015,,,Administrator of Railway Infrastructures (Adif),Federally Owned,Secondary Distribution,,Win Inertia,25.0,,729064.0,12.0,Universidad de Jaen; Universidad de Sevilla - Electronic Technology Group; Universidad de Málaga - Escuela Técnica Superior de Ingeniería Industrial,Jaen - PV installations of the Regulation node; Sevilla - Collaborated on the central management system for the nodes; Málaga - Defined energy potential for regenerative braking energy generation,DD.57.YYYY 01:57:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
141,Woojin/Maxwell Daegu Line 2 - Jukjeon Station (224),Electro-chemical,Electro-chemical Capacitor,Electro-chemical Capacitor,Operational,"Woojin Industrial Systems has completed installation of its energy storage system (ESS) ultracapacitor-based braking energy recuperation systems in seven Metro stations in Seoul, Daejon, Incheon and the Korea Train eXpress (KTX) high-speed rail depot in Seoul.  Beginning with installation of demonstration systems in 2009 under a contract with the Korean federal government&#039;s Korean Railroad Research Institute (KRRI), Woojin and rail system operators have achieved grid power consumption savings of more than 20 percent and realized additional benefits in the form of system voltage stabilization that reduces power infrastructure requirements and helps to ensure uninterrupted operation. The recuperation systems, ranging from 750 to 1,500 volts, employ Maxwell ultracapacitors to absorb energy during rail vehicle braking and deliver the stored energy to the vehicles&#039; electric motors for propulsion and to stabilize voltage throughout the system.  Each installation employs up to 200 of Maxwell&#039;s 48-volt multi-cell ultracapacitor modules. Based on their positive experience to date, Woojin and rail system operators are planning several additional installations in 2014 and 2015.",1050.0,,,,35.850752,128.54,,"Transportation Services, Voltage Support, Electric Energy Time Shift, ",Dalseo-gu,Daegu,"Korea, South",,25.08.2013,25.08.2013,,,Korea Electric Power Corporation (KEPCO),Federally Owned,,,Woojin Industrial Systems,0.0,,0.0,0.0,,,DD.12.YYYY 20:12:09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
142,Woojin/Maxwell Incheon Line 2 - Wanjeong Station (205),Electro-chemical,Electro-chemical Capacitor,Electro-chemical Capacitor,Operational,"Woojin Industrial Systems has completed installation of its energy storage system (ESS) ultracapacitor-based braking energy recuperation systems in seven Metro stations in Seoul, Daejon, Incheon and the Korea Train eXpress (KTX) high-speed rail depot in Seoul.  Beginning with installation of demonstration systems in 2009 under a contract with the Korean federal government&#039;s Korean Railroad Research Institute (KRRI), Woojin and rail system operators have achieved grid power consumption savings of more than 20 percent and realized additional benefits in the form of system voltage stabilization that reduces power infrastructure requirements and helps to ensure uninterrupted operation. The recuperation systems, ranging from 750 to 1,500 volts, employ Maxwell ultracapacitors to absorb energy during rail vehicle braking and deliver the stored energy to the vehicles&#039; electric motors for propulsion and to stabilize voltage throughout the system.  Each installation employs up to 200 of Maxwell&#039;s 48-volt multi-cell ultracapacitor modules. Based on their positive experience to date, Woojin and rail system operators are planning several additional installations in 2014 and 2015.",1200.0,,,,37.476364000000004,126.62,,"Transportation Services, Voltage Support, Electric Energy Time Shift, ",Incheon,Incheon,"Korea, South",,,24.05.2014,,,Korea Electric Power Corporation (KEPCO),Federally Owned,,,Woojin Industrial Systems,0.0,,0.0,0.0,,,DD.10.YYYY 20:10:18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
735,Woojin/Maxwell Daejeon Line 1 - Cityhall Station (111),Electro-chemical,Electro-chemical Capacitor,Electro-chemical Capacitor,Operational,"Woojin Industrial Systems has completed installation of its energy storage system (ESS) ultracapacitor-based braking energy recuperation systems in seven Metro stations in Seoul, Daejon, Incheon and the Korea Train eXpress (KTX) high-speed rail depot in Seoul.   Beginning with installation of demonstration systems in 2009 under a contract with the Korean federal government&#039;s Korean Railroad Research Institute (KRRI), Woojin and rail system operators have achieved grid power consumption savings of more than 20 percent and realized additional benefits in the form of system voltage stabilization that reduces power infrastructure requirements and helps to ensure uninterrupted operation. The recuperation systems, ranging from 750 to 1,500 volts, employ Maxwell ultracapacitors to absorb energy during rail vehicle braking and deliver the stored energy to the vehicles&#039; electric motors for propulsion and to stabilize voltage throughout the system.  Each installation employs up to 200 of Maxwell&#039;s 48-volt multi-cell ultracapacitor modules. Based on their positive experience to date, Woojin and rail system operators are planning several additional installations in 2014 and 2015.",1400.0,,,,36.3513831,127.39,,"Electric Energy Time Shift, Transportation Services, Voltage Support, ",Seo-gu,Daejeon,"Korea, South",,01.12.2010,01.12.2010,,,Korea Electric Power Corporation (KEPCO),Federally Owned,,,Woojin Industrial Systems,0.0,,0.0,0.0,,,DD.09.YYYY 20:09:29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
736,Woojin/Maxwell Daejeon Line 1 - Gapcheon Station (115),Electro-chemical,Electro-chemical Capacitor,Electro-chemical Capacitor,Operational,"Woojin Industrial Systems has completed installation of its energy storage system (ESS) ultracapacitor-based braking energy recuperation systems in seven Metro stations in Seoul, Daejon, Incheon and the Korea Train eXpress (KTX) high-speed rail depot in Seoul.   Beginning with installation of demonstration systems in 2009 under a contract with the Korean federal government&#039;s Korean Railroad Research Institute (KRRI), Woojin and rail system operators have achieved grid power consumption savings of more than 20 percent and realized additional benefits in the form of system voltage stabilization that reduces power infrastructure requirements and helps to ensure uninterrupted operation. The recuperation systems, ranging from 750 to 1,500 volts, employ Maxwell ultracapacitors to absorb energy during rail vehicle braking and deliver the stored energy to the vehicles&#039; electric motors for propulsion and to stabilize voltage throughout the system.  Each installation employs up to 200 of Maxwell&#039;s 48-volt multi-cell ultracapacitor modules. Based on their positive experience to date, Woojin and rail system operators are planning several additional installations in 2014 and 2015.",1400.0,,,,36.3543602,127.35,,"Electric Energy Time Shift, Transportation Services, Voltage Support, ",Seo-gu,Daejeon,"Korea, South",,01.12.2010,01.12.2010,,,Korea Electric Power Corporation (KEPCO),Federally Owned,,,Woojin Industrial Systems,0.0,,0.0,0.0,,,DD.12.YYYY 20:12:52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
737,Woojin/Maxwell Seoul Line 7 - Sang-dong Station (756),Electro-chemical,Electro-chemical Capacitor,Electro-chemical Capacitor,Operational,"Woojin Industrial Systems has completed installation of its energy storage system (ESS) ultracapacitor-based braking energy recuperation systems in seven Metro stations in Seoul, Daejon, Incheon and the Korea Train eXpress (KTX) high-speed rail depot in Seoul.  Beginning with installation of demonstration systems in 2009 under a contract with the Korean federal government&#039;s Korean Railroad Research Institute (KRRI), Woojin and rail system operators have achieved grid power consumption savings of more than 20 percent and realized additional benefits in the form of system voltage stabilization that reduces power infrastructure requirements and helps to ensure uninterrupted operation. The recuperation systems, ranging from 750 to 1,500 volts, employ Maxwell ultracapacitors to absorb energy during rail vehicle braking and deliver the stored energy to the vehicles&#039; electric motors for propulsion and to stabilize voltage throughout the system.  Each installation employs up to 200 of Maxwell&#039;s 48-volt multi-cell ultracapacitor modules. Based on their positive experience to date, Woojin and rail system operators are planning several additional installations in 2014 and 2015.",1870.0,,,,37.505802,126.75,,"Electric Energy Time Shift, Transportation Services, Voltage Support, ",Bucheon,Gyeonggi-do,"Korea, South",,01.08.2011,01.08.2011,,,Korea Electric Power Corporation (KEPCO),Federally Owned,,,Woojin Industrial Systems,0.0,,0.0,0.0,,,DD.12.YYYY 20:12:40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
738,Woojin/Maxwell Seoul Line 2 - Seocho Station (224),Electro-chemical,Electro-chemical Capacitor,Electro-chemical Capacitor,Operational,"Woojin Industrial Systems has completed installation of its energy storage system (ESS) ultracapacitor-based braking energy recuperation systems in seven Metro stations in Seoul, Daejon, Incheon and the Korea Train eXpress (KTX) high-speed rail depot in Seoul.  Beginning with installation of demonstration systems in 2009 under a contract with the Korean federal government&#039;s Korean Railroad Research Institute (KRRI), Woojin and rail system operators have achieved grid power consumption savings of more than 20 percent and realized additional benefits in the form of system voltage stabilization that reduces power infrastructure requirements and helps to ensure uninterrupted operation. The recuperation systems, ranging from 750 to 1,500 volts, employ Maxwell ultracapacitors to absorb energy during rail vehicle braking and deliver the stored energy to the vehicles&#039; electric motors for propulsion and to stabilize voltage throughout the system.  Each installation employs up to 200 of Maxwell&#039;s 48-volt multi-cell ultracapacitor modules. Based on their positive experience to date, Woojin and rail system operators are planning several additional installations in 2014 and 2015.",2340.0,,,,37.49184,127.01,,"Electric Energy Time Shift, Transportation Services, Voltage Support, ",Seocho-gu,Seoul,"Korea, South",,26.12.2012,26.12.2012,,,Korea Electric Power Corporation (KEPCO),Federally Owned,,,Woojin Industrial Systems,0.0,,0.0,0.0,,,DD.07.YYYY 20:07:48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
739,Woojin/Maxwell Incheon Line 1 - Technopark Station (I134),Electro-chemical,Electro-chemical Capacitor,Electro-chemical Capacitor,Operational,"Woojin Industrial Systems has completed installation of its energy storage system (ESS) ultracapacitor-based braking energy recuperation systems in seven Metro stations in Seoul, Daejon, Incheon and the Korea Train eXpress (KTX) high-speed rail depot in Seoul.  Beginning with installation of demonstration systems in 2009 under a contract with the Korean federal government&#039;s Korean Railroad Research Institute (KRRI), Woojin and rail system operators have achieved grid power consumption savings of more than 20 percent and realized additional benefits in the form of system voltage stabilization that reduces power infrastructure requirements and helps to ensure uninterrupted operation. The recuperation systems, ranging from 750 to 1,500 volts, employ Maxwell ultracapacitors to absorb energy during rail vehicle braking and deliver the stored energy to the vehicles&#039; electric motors for propulsion and to stabilize voltage throughout the system.  Each installation employs up to 200 of Maxwell&#039;s 48-volt multi-cell ultracapacitor modules. Based on their positive experience to date, Woojin and rail system operators are planning several additional installations in 2014 and 2015.",2340.0,,,,37.3824125,126.66,,"Electric Energy Time Shift, Transportation Services, Voltage Support, ",Yeonsu-gu,Incheon,"Korea, South",,26.12.2012,26.12.2012,,,Korea Electric Power Corporation (KEPCO),Federally Owned,,,Woojin Industrial Systems,0.0,,0.0,0.0,,,DD.08.YYYY 20:08:17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
740,Woojin/Maxwell Seoul Line 9 - COEX Station (929),Electro-chemical,Electro-chemical Capacitor,Electro-chemical Capacitor,Operational,"Woojin Industrial Systems has completed installation of its energy storage system (ESS) ultracapacitor-based braking energy recuperation systems in seven Metro stations in Seoul, Daejon, Incheon and the Korea Train eXpress (KTX) high-speed rail depot in Seoul.   Beginning with installation of demonstration systems in 2009 under a contract with the Korean federal government&#039;s Korean Railroad Research Institute (KRRI), Woojin and rail system operators have achieved grid power consumption savings of more than 20 percent and realized additional benefits in the form of system voltage stabilization that reduces power infrastructure requirements and helps to ensure uninterrupted operation. The recuperation systems, ranging from 750 to 1,500 volts, employ Maxwell ultracapacitors to absorb energy during rail vehicle braking and deliver the stored energy to the vehicles&#039; electric motors for propulsion and to stabilize voltage throughout the system.  Each installation employs up to 200 of Maxwell&#039;s 48-volt multi-cell ultracapacitor modules. Based on their positive experience to date, Woojin and rail system operators are planning several additional installations in 2014 and 2015.",1870.0,,,,37.51723629999999,127.05,,"Electric Energy Time Shift, Transportation Services, Voltage Support, ",Gangnam-gu,Seoul,"Korea, South",,25.10.2013,25.10.2013,,,Korea Electric Power Corporation (KEPCO),Federally Owned,,,Woojin Industrial Systems,0.0,,0.0,0.0,,,DD.11.YYYY 20:11:47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
