,									     Title, Technology Broad Category, Technology Mid-Type, Technology Sub-Type,Status,Description,Rated Power,Rated Energy,Duration,Modular,Latitude,Longitude,Image,Service / Use Cases,City,State,Country,Announced, Commissioned, Constructed, Decommissioned,isoRto,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Developer,Projected Project Lifetime (Years),Performance, Capital Expenditure,Operating Expense,Research Institution,Research Description,Last Updated,Black Start,Demand Response,Distribution upgrade due to solar,Distribution upgrade due to wind,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality),Grid-Connected Residential (Reliability),Load Following (Tertiary Balancing),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Ramping,Renewables Capacity Firming,Renewables Energy Time Shift,Resiliency,Stationary Transmission/Distribution Upgrade Deferral,Transmission Congestion Relief,Transmission Support,Transmission upgrades due to solar,Transmission upgrades due to wind,Transportable Transmission/Distribution Upgrade Deferral,Transportation Services,Voltage Support
40,Monash University RedT 300kW / 1MWh Hybrid System ,Electro-chemical,Vanadium Redox Flow Battery,Vanadium Redox Flow Battery,Announced,"The system, which comprises 900kWh of redT flow machines coupled with a 120kW C1-rated lithium battery, will be deployed as an active energy storage infrastructure asset at the University’s new 11,400 m2 Biomedical Learning and Teaching building, which will house state-of-the-art biomedical research laboratories over 4 floors.  Coupled with on-site solar PV assets, the system will be used to maximise the university’s utilisation of renewable energy to significantly reduce energy costs for campus buildings. This will generate significant savings for the site and also open up potential new revenue streams, in the form of both contracted and merchant grid services in the future. The system will be used as a ‘flexible platform’ and will become part of the “Monash Microgrid”, in partnership with Monash Energy Materials and Systems Institute (MEMSI). The project aims to integrate distributed renewables on Monash’s campuses to increase reliability and stability within the local grid and in the future, allow for innovative, market based peer-to-peer energy trading.",300.0,,,,-37.9153572,145.13,,"Microgrid Capability, Renewables Capacity Firming, ",Clayton,Victoria,Australia,03.10.2017,,,,,,,,On-site PV,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Milton-IESO,Electro-chemical,Flow Battery,Vanadium Redox Flow Battery,Contracted,"The Milton site will be a four-hour flow battery, capable of two MW performance and eight Mwh of storage capacity. Energy storage has the potential to transform how the IESO plans and operates the power system by providing a range of real-time grid balancing services and injecting or withdrawing energy on demand",2000.0,,,,43.5245705,-79.91,,"Electric Bill Management, ",Milton,Ontario,Canada,09.03.2016,,,,IESO,,,,,,0.0,N.A,0.0,0.0,,,DD.10.YYYY 00:10:32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Multinational Telecommunications company- Imergy,Electro-chemical,Flow Battery,Vanadium Redox Flow Battery,Announced,"A South Africa-based multinational mobile telecommunications company that provides services to more than 200 million subscribers in Africa, Europe and the Middle East has purchased a further 105 Imergy ESP5™ vanadium flow batteries in addition to an original pilot of 20 systems, to provide backup power to base station sites in the country.",625.0,,,,-26.2041028,28.05,,"Electric Bill Management, ",Johannesburg,Gauteng,South Africa,01.06.2016,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,RedT-Germany-10KW,Electro-chemical,Flow Battery,Vanadium Redox Flow Battery,Announced,"RedT has sold one of its product to a building services firm that plans to integrate it with a solar photovoltaic system, which is to be installed at one of its sites. The customer intends to integrate the energy storage system with a solar photovoltaic system (“PV”) within a building at one of their major locations in Germany which will be available for demonstrations to other potential European customers.",10.0,,,,51.165690999999995,10.45,,"Electric Bill Management with Renewables, Resiliency, ",-,-,Germany,14.12.2015,,,,,,,,,,0.0,N.A,0.0,0.0,,,DD.14.YYYY 23:14:15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,RedT-Southwest England,Electro-chemical,Flow Battery,Vanadium Redox Flow Battery,Announced,"The order is from one of Europe’s largest utility companies, operating throughout the UK. This unit will be delivered to a warehousing and logistics company in the South West of England. The utility intends to trial the system to demonstrate improved payback on the customer’s existing PV installation, by enabling the storing of power for self-consumption or export at periods of high electricity price, and the battery will also be used to minimise the customer’s fees related to site import capacity. Alongside the analysis of these benefits, installing the system will allow examination of the potential for the use of flow batteries in value added grid/ancillary services, and it will also allow the charging and integration of multiple electric vehicles (cars, vans and forklifts) from the on-site PV.",40.0,,,,55.378051,-3.44,,"Electric Bill Management with Renewables, Frequency Regulation, ",-,-,United Kingdom,14.12.2015,,,,,,,,,,0.0,N.A,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Lausanne Polytechnic School-Martigny-200kW,Electro-chemical,Flow Battery,Vanadium Redox Flow Battery,Operational,"Gildemeister energy storage GmbH is planning to install a CellCube storage system, which is based on vanadium redox flow technology, at the &#039;Laboratory for Physical and Analytical Electrochemistry&#039; (LEPA) of the Lausanne Polytechnic School near Martigny. The goal of the project is to develop a charging station that can charge both battery-powered as well as hydrogen / fuel cell vehicles using electricity from renewable sources.",200.0,,,,46.104979799999995,7.08,,"Electric Bill Management with Renewables, Renewables Energy Time Shift, ",Martigny,Valais,Switzerland,,05.10.2015,,,,,,,,,0.0,,0.0,0.0,,,DD.17.YYYY 18:17:30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Comed-Bronzeville-Demo,Electro-chemical,Flow Battery,Zinc Iron Flow Battery,Announced,"ComEd is building a microgrid in Bronzeville and just received federal funding for its next step: solar power and battery storage that could eventually keep the Chicago Police Department headquarters and other key buildings running during a mass power outage. Bronzeville was chosen as a starting point because it houses infrastructure that would be vital to keep running during a mass power outage, like medical centers and police headquarters.",1000.0,,,,39.7817213,-89.65,,"Microgrid Capability, ",Springfield,Illinois,United States,01.03.2016,,28.02.2018,,MISO,ComEd,,,,,0.0,,10400000.0,0.0,,,DD.19.YYYY 18:19:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Livermore Valley Performing Arts Center 30 kW Imergy Flow Battery,Electro-chemical,Flow Battery,Vanadium Redox Flow Battery,Announced,"Imergy Power Systems announced today that the Livermore Valley Performing Arts Center will install an Imergy ESP30™ Series vanadium-based flow battery as part of its new behind-the-meter clean energy system. The 30 kilowatt/120 kilowatt-hour ESP30 battery, working in conjunction with a SunEdison, Inc 59 kilowatt photovoltaic (PV) solar power system and Geli’s Energy Operating System (Geli EOS) software, will enable the arts center to reduce its greenhouse gas emissions, lower its energy costs and improve its energy resiliency.  In addition to its environmental benefits the new behind-the-meter clean energy system will reduce the amount of electricity the arts center needs to purchase from the grid, helping the arts center lower its utility bill. The new system will also allow the arts center to store electricity generated by its SunEdison solar system during the day for use at night, helping it lower its peak energy use levels and avoid possible energy demand charges in the future.",30.0,,,,37.680208,-121.79,,"Electric Bill Management, Resiliency, Voltage Support, ",Livermore Valley,California,United States,08.07.2015,,,,CAISO,,,,59 kW PV solar power system,,0.0,,0.0,0.0,,,DD.44.YYYY 17:44:28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
126,Liaoning Electric Power Research Institute Micro-grid Project,Electro-chemical,Flow Battery,Vanadium Redox Flow Battery,Operational,PV Storage in Micro-grid,100.0,,,,41.805865000000004,123.43,,"Onsite Renewable Generation Shifting, On-Site Power, Microgrid Capability, ",Shenyang,Liaoning,China,27.10.2014,,,,,,,,,,0.0,,0.0,0.0,,,DD.03.YYYY 14:03:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Gold Wind Smart Micro-grid VFB,Electro-chemical,Flow Battery,Vanadium Redox Flow Battery,Operational,Energy Storage in Micro-grid,200.0,,,,39.90403,116.41,,"Onsite Renewable Generation Shifting, Microgrid Capability, ",Beijing,Beijing,China,27.10.2014,,,,,,,,,,0.0,,0.0,0.0,,,DD.02.YYYY 14:02:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
