,									     Title, Technology Broad Category, Technology Mid-Type, Technology Sub-Type,Status,Description,Rated Power,Rated Energy,Duration,Modular,Latitude,Longitude,Image,Service / Use Cases,City,State,Country,Announced, Commissioned, Constructed, Decommissioned,isoRto,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Developer,Projected Project Lifetime (Years),Performance, Capital Expenditure,Operating Expense,Research Institution,Research Description,Last Updated,Black Start,Demand Response,Distribution upgrade due to solar,Distribution upgrade due to wind,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality),Grid-Connected Residential (Reliability),Load Following (Tertiary Balancing),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Ramping,Renewables Capacity Firming,Renewables Energy Time Shift,Resiliency,Stationary Transmission/Distribution Upgrade Deferral,Transmission Congestion Relief,Transmission Support,Transmission upgrades due to solar,Transmission upgrades due to wind,Transportable Transmission/Distribution Upgrade Deferral,Transportation Services,Voltage Support
31,Diesel Generator Solar + Storage Replacement,Electro-chemical,Sodium based Battery,Sodium based Battery,Operational,30.6kWhr Aquion Aqueous Hybrid Ion battery with 10kWp Solar array replaced 6kW diesel generator running 24/7.,11.0,,,,0.0,0.0,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Muddiford,Exmoor,France,06.11.2016,12.09.2016,16.08.2016,,,,,,,Solar PV Partners,12.0,"Pay back in 4.2 years, noise and smoke reduction due to shut down of diesel generator.  More efficient use of staff time and tons of carbon reduction being calculated.",27000.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,The Smart Sodium Storage Solution (S4) Project,Electro-chemical,Sodium based Battery,Sodium based Battery,Announced,"The Institute for Superconducting and Electronic Materials (ISEM) at the University of Wollongong is leading a $10.5m, ARENA-funded project to develop a novel sodium-ion battery architecture for use in renewable energy storage applications.   The project consortium includes: •	The Australian Power Quality and Reliability Centre  •	The Sustainable Buildings Research Centre •	Liao Ning Hong Cheng Electric Power Co. •	Hebei ANZ New Energy Technology Co. •	McNair Technology Co. •	Nano-Nouvelle •	Sydney Water Corporation  5 kWh sodium-ion battery modules with integrated BMS and thermal management will be installed at the Illawarra Flame House and Sydney Water’s Bondi sewage pumping station (30 kWh total pack size) to demonstrate the applicability of sodium-ion battery technology to renewable energy storage. The Sydney Water installation will also include an innovative Energy Management System that will control generation, storage and consumption of energy to ensure maximum system efficiency.",30.0,,,,-33.8688197,151.21,,"Renewables Energy Time Shift, Resiliency, ",Sydney,NSW,Australia,14.04.2016,30.09.2019,31.03.2019,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,NGK-Chugoku Electric,Electro-chemical,Sodium based Battery,Sodium-sulfur Battery,Operational,"The Oki Hybrid Project introduced a hybrid storage battery system combining the NAS battery, with its excellent long-term output characteristics, and a lithium-ion battery, which has outstanding short-term output characteristics. The NAS battery will stabilize large, slow fluctuations, while the lithium-ion battery will absorb rapid, small fluctuations due to passing clouds or sudden changes in wind speed. The combination and coordinated control of two types of storage battery for a single objective is an advanced initiative being attempted for the first time in Japan.",4200.0,,,,36.0930267,132.99,,"Renewables Capacity Firming, Voltage Support, ",Nishinoshima Town,Shimane Prefecture,Japan,,30.09.2015,,,,Chugoku Electric Power Nishinoshima Substation,,,, Mitsubishi Electric Corporation,0.0,,0.0,0.0,,,DD.53.YYYY 17:53:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,Ensync Distributed Energy Management: Aquion ,Electro-chemical,Sodium-ion Battery,Sodium-ion Battery,Operational,"EnSync, Inc. (NYSE MKT: ESNC), dba EnSync Energy Systems, a leading developer of innovative energy management systems serving the commercial, industrial and multi-tenant building markets, announces the ongoing successful operation of a distributed energy project utilizing EnSync&#039;s energy management system integrated with solar PV and Aquion Energy&#039;s Aqueous Hybrid Ion (AHI™) batteries to power an agricultural installation at Mari&#039;s Garden in Mililani, Hawaii. Continually operating for more than four months, EnSync&#039;s technology is providing power for water pumps critical to supporting 24/7 hydroponics and aquaponics fishery operations.",25.0,,,,21.0,-158.0,,"Renewables Energy Time Shift, ",Mililani,Hawaii,United States,19.01.2016,,,,,,,,,Nidon,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Enel Livorno Test Facility: 20 kW ZEBRA,Electro-chemical,Sodium based Battery,Sodium-nickel-chloride Battery,Operational,"At Enel’s research facility in Livorno, three different energy storage systems are being tested: lithium ion batteries, vanadium redox flow batteries and sodium-nickel chloride &quot;ZEBRA&quot; (Zero Emission Battery Research Activity) batteries.  The key performance factors being investigated are:  - Response and inversion time  - Round trip efficiency  - Real vs nominal capacity  - Performances decay",20.0,,,,43.548473,10.31,,"Renewables Capacity Firming, ",Livorno,Livorno,Italy,06.08.2014,,,,,Enel,Investor Owned,,,,0.0,,0.0,0.0,Enel,,DD.01.YYYY 21:01:36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Enercon Wind Turbine NaS BESS,Electro-chemical,Sodium based Battery,Sodium-sulfur Battery,Operational,This unit is connected to a 6 MW wind turbine.,800.0,,,,53.3594029,7.21,,"Renewables Capacity Firming, Onsite Renewable Generation Shifting, ",Emden,Lower Saxony,Germany,,01.07.2009,,,,,,,,,0.0,,0.0,0.0,,,DD.43.YYYY 21:43:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,POSCO Secondary Battery Research Activity,Electro-chemical,Sodium based Battery,Sodium-nickel-chloride Battery,Operational,"With the lowest cost of ownership and zero ambient emissions, sodium energy backup systems are designed to operate in extreme temperature conditions (-40°C to +65°C).  Able to execute more than 4500 cycles at 80% DoD. No cooling required and integrated BMS.",198.0,,,,37.4562557,126.71,,"Electric Supply Capacity, Electric Energy Time Shift, ",Incheon,Seoul,"Korea, South",,,01.01.2012,,,POSCO Energy,Investor Owned,,,,0.0,,0.0,0.0,,,DD.06.YYYY 21:06:23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,State Grid Shanghai FIAMM Battery Project,Electro-chemical,Sodium based Battery,Sodium-nickel-chloride Battery,Operational,"With the lowest cost of ownership and zero ambient emissions, sodium energy backup systems are designed to operate in extreme temperature conditions (-40°C to +65°C).  Able to execute more than 4500 cycles at 80% DoD. No cooling required and integrated BMS. Project provides backup power and load following during peak hours",100.0,,,,31.2306855,121.47,,"Onsite Renewable Generation Shifting, Load Following (Tertiary Balancing), Electric Supply Reserve Capacity - Non-Spinning, ",Shanghai,Shanghai,China,,,01.01.2012,,,State Grid Corporation of China (SGCC),Federally Owned,,,,0.0,,0.0,0.0,,,DD.06.YYYY 21:06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,EDF EN Gabardone Project,Electro-chemical,Sodium based Battery,Sodium-nickel-chloride Battery,Operational,"Unit: Spring 303, voltage regulation, load following",20.0,,,,43.0,3.0,,"Voltage Support, Load Following (Tertiary Balancing), ",Colombiers,Linguadoca-Rossiglione,France,01.01.2012,01.01.2013,,,,EDF EN,Public Owned,,,,0.0,,0.0,0.0,,,DD.05.YYYY 21:05:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
440,INES Project,Electro-chemical,Sodium based Battery,Sodium-nickel-chloride Battery,Operational,"&lt;p&gt;The Institut National de l&#039;Energie Solaire (INES) partners with Commissariat à l’énergie atomique et aux énergies alternatives (CEA) for ongoing R&amp;amp;D into all aspects of solar photovoltaic energy. With the lowest cost of ownership and zero ambient emissions, sodium energy backup systems are designed to operate in extreme temperature conditions (-40°C to +65°C).  Able to execute more than 4500 cycles at 80% DoD. No cooling required and integrated BMS.&lt;/p&gt;",120.0,,,,45.643296,5.87,,"Renewables Energy Time Shift, ",Le Bourget du Lac,Rodano-Alpi,France,01.01.2012,01.01.2012,,,,INES-CEA,Federally Owned,Transmission,,,0.0,,0.0,0.0,Institut National de l&#039;Energie Solaire,,DD.03.YYYY 21:03:18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
