,									     Title, Technology Broad Category, Technology Mid-Type, Technology Sub-Type,Status,Description,Rated Power,Rated Energy,Duration,Modular,Latitude,Longitude,Image,Service / Use Cases,City,State,Country,Announced, Commissioned, Constructed, Decommissioned,isoRto,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Developer,Projected Project Lifetime (Years),Performance, Capital Expenditure,Operating Expense,Research Institution,Research Description,Last Updated,Black Start,Demand Response,Distribution upgrade due to solar,Distribution upgrade due to wind,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality),Grid-Connected Residential (Reliability),Load Following (Tertiary Balancing),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Ramping,Renewables Capacity Firming,Renewables Energy Time Shift,Resiliency,Stationary Transmission/Distribution Upgrade Deferral,Transmission Congestion Relief,Transmission Support,Transmission upgrades due to solar,Transmission upgrades due to wind,Transportable Transmission/Distribution Upgrade Deferral,Transportation Services,Voltage Support
3,Blue Solutions - Nîmes 200kWh of LMP Batteries,Electro-chemical,Lead-acid Battery,Advanced Lead-acid Battery,De-Commissioned,&lt;p&gt;Help the integration of solar power plant in order to make the power grid more resilient. 200kWh of LMP batteries.&lt;/p&gt;,50.0,,,,43.503995,4.21361,,"Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Nîmes,,France ,,,,,,,Investor Owned,Transmission,,www.blue-solutions.com,25.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Smart Operator Wincheringen Pb,Electro-chemical,Lead-acid Battery,Lead-acid Battery,Operational,For better integration of renewable energies in the distribution intelligent solutions are increasingly in demand. RWE Germany has launched the project &quot;smart operator&quot; to develop &quot;intelligent&quot; solutions in the low voltage network in August 2012.  250 test households in the communities Kisselbach and Wincheringen (Rheinland Pfalz) and Wertachau (Bavaria) are connected to an intelligent low-voltage grid.,15.0,,,,50.0,6.0,,"Electric Energy Time Shift, Renewables Energy Time Shift, Stationary Transmission/Distribution Upgrade Deferral, ",Wincheringen,Rheinland-Pfalz,Germany,01.02.2014,01.12.2014,01.09.2014,,,,Cooperative (Customer Owned),Primary Distribution,,,3.0,System is running well. All customer requirements are satisfied.,0.0,0.0,,,DD.05.YYYY 00:05:44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,"Freqcon&#039;s Tallaght Smart Grid Testbed, Dublin Ecoult ",Electro-chemical,Electro-chemical,Hybrid Lead-acid Battery/Electro-chemical Capacitor,Operational,"Ecoult&#039;s Ultra-Battery energy storage products is to be installed in Dublin in a smart grid testbed to integrate fast-response storage with the electricity grid.The program is being run by German  renewable systems and power converter manufacturer Freqcon for its Tallaght Smart Grid Testbed, which is being used by the operated by  Irish Micro Electricity Generation Association to test new battery storage technologies. The trial is designed to show how a combination of energy storage and smart power electronics can minimize electricity distribution issues and grid instability in a micro grid. The system being used is a single UltraMax which is about 70kWh nominal capacity at the 10-hour rate.",7.0,,,,53.0,-6.0,,"Grid-Connected Commercial (Reliability &amp; Quality), Grid-Connected Residential (Reliability), ",Dublin,Leinster,Ireland,29.01.2016,,,,,Irish Micro Electricity Generation Association,Investor Owned,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Axion Power International-Sharon-12.5 MW ,Electro-chemical,Lead-acid Battery,Lead Carbon Battery,Announced,"Axion Power Internation has filed an interconnection application with PJM Interconnection for a site in Sharon, PA. Axion currently has a lease option agreement on the property and is seeking regulatory approval to deploy a 12.5 MW battery energy storage system to engage in the business of frequency regulation. The proposed project site is a former steel fabrication facility in Sharon, PA which is about 60 miles north of Pittsburgh and twenty minutes from the Axion technical center in New Castle, PA. The successful issuance of the interconnection agreement would allow Axion to participate in the PJM regulation market.  The application is currently moving through the PJM interconnection review process, and Axion is evaluating project financing options for this major commercial project.",12500.0,,,,41.2331116,-80.49,,"Frequency Regulation, ",Sharon,Pennsylvania,United States,01.03.2016,,,,PJM,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,FerroSmartGrid - Regulation Node,Electro-chemical,Lead-acid Battery,Hybrid Lead-acid Battery/Electro-chemical Capacitor,Operational,"FerroSmartGrid is a demonstration project that aims to achieve maximum efficiency in the railway infrastructure power grid. In order to do this, a new generation of railway smart nodes has been developed to enable interoperability between urban/interurban transportation systems, users and the railway infrastructure. Win Inertia, as a technological solutions provider, uses the same environmental technological concept developed in the Ferrolinera project to create smart nodes over the railway infrastructure.  The Regulation node helps stabilize the electric grid using its optimized storage combination of Maxwell’s ultracapacitors and battery storage technologies to gradually draw excess energy from either renewable energy sources or the grid in cases of overproduction. This stored energy is carefully managed until there is a need in the grid, at which time the regulation node rapidly and expertly injects the necessary energy to cover the deficit.  Please note that the techonology type for this project is actually a hybrid lead-acid battery/electro-chemical capacitor.",50.0,,,,37.0,-5.0,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Capacity Firming, Transportation Services, Voltage Support, ",Antequera,Málaga,Spain,01.02.2012,25.05.2015,12.01.2015,,,Administrator of Railway Infrastructures (Adif),Federally Owned,Secondary Distribution,,Win Inertia,25.0,,729027.0,12.0,Universidad de Jaen; Universidad de Sevilla - Electronic Technology Group; Universidad de Málaga - Escuela Técnica Superior de Ingeniería Industrial,Jaen - PV installations of the Regulation node; Sevilla - Collaborated on the central management system for the nodes; Málaga - Defined energy potential for regenerative braking energy generation,DD.57.YYYY 20:57:37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
134,Axion Solar Farm 9.1 MW Coatesville,Electro-chemical,Lead-acid Battery,Lead Carbon Battery,Announced,"Axion Power International, Inc., a developer of advanced lead-carbon PbC® batteries, energy storage systems and frequency regulation systems, has been designated as the supplier of energy storage and frequency regulation for a solar farm that will be the largest in Pennsylvania.  The Coatesville Solar Initiative (CSI) announced its choice of Axion Power and its PbC® technology and batteries for the 48-acre project.  Axion Power PbC PowerCube™ technology has been admitted to connect with the 13-state PJM power grid, and brings that certification to the CSI project.  Phase I &amp;amp; II of the multi-phased project is comprised of two 2.4 MW solar facilities, generating approximately 6.3 million kWh which CSI has contractually agreed to sell Coatesville Area School District (CASD) through a 25-year solar power purchase agreement (SPPA). According to CSI, when completed, the 9.1 MW solar farm will be the largest solar park facility in Pennsylvania.",9000.0,,,,41.0036719,-80.35,,"Frequency Regulation, Renewables Energy Time Shift, ",New Castle,Pennsylvania,United States,30.10.2014,,,,PJM,,,,Solar,,0.0,,0.0,0.0,,,DD.56.YYYY 23:56:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,DC Naval Yard Zero Energy Building,Electro-chemical,Lead-acid Battery,Lead Carbon Battery,Operational,"The Washington Navy Yard Visitor&#039;s Center Net Zero Energy project was completed in 2012. Various technologies were employed to achieve this including spray-foam and blown-in cellulose insulation, electrochromic windows, LED lighting, and a new geothermal heat-pump HVAC system. There are also Solar Panels and Micro-Wind turbines on the adjacent parking structure that tie into a cutting edge hybrid-gel battery system which can power the building in the event of a power failure.   The battery system was supplied by Axion Power International. It consists of a full 36 PbC battery mini-Powercube system. The project hosts a 31 kW PV system and two wind turbines tied to a a smart lead-carbon-supercapacitor battery bank. The renewable energy system sustains the building and only brings in electric power from the grid if the battery bank cannot meet the electric load, primarily in summer.",16.0,,,,39.0,-77.0,,"Renewables Capacity Firming, Onsite Renewable Generation Shifting, Electric Bill Management with Renewables, On-Site Power, ",Washington,District of Columbia,United States,04.01.2012,,,,PJM,,,,31 kW PV,SilTek Inc.,0.0,,0.0,0.0,,,DD.33.YYYY 19:33:20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Foula Community Electricity Scheme,Electro-chemical,Lead-acid Battery,Lead-acid Battery,Operational,"The Isle of Foula is inhabited by 25 people and owns the title of Britain&#039;s remotest outlying island. Econnect Ventures and Wind &amp;amp; Sun collaborated to redesign the island&#039;s electricity grid, linking the hydro, diesel, and PV assets to a battery bank that smooths renewable generation and reduces dependence on diesel fuel.",16.0,,,,60.0,-2.0,,"Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Isle of Foula,"Highland, Scottland",United Kingdom,,01.03.2007,01.11.2006,,,,,,"19.2 kW PV Array, 15 kW hydro turbine",Econnect Ventures,0.0,,0.0,0.0,,,DD.15.YYYY 17:15:44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Flat Holm Microgrid Project,Electro-chemical,Lead-acid Battery,Lead-acid Battery,Operational,"Wind &amp;amp; Sun LTD installed the battery/inverter systems, wind turbine and PV arrays in the summer of 2006.  The system uses 3 Sunny Island SI-4500 bi-directional inverters connected as a single phase parallel cluster as the heart of the system to combine to give a high quality sine wave inverter with powerful overload capability (total of 13.5kW 30min rating). They include powerful battery chargers that ensures maximum battery lifetimes, energy management controller for loads and generators, and a generator management system. All generation is connected on the AC side with the PV using Sunny Boy inverters and the wind turbine using a Windy Boy, so cable volt losses can be minimised. The Sunny Island cluster is connected to a battery bank rated at 60 VDC 916 Ah (@ C10 rate), comprising 15 x 4V Rolls Solar RB-4KS21PS batteries. This gives a storage capacity of over 27 kWh to 50% depth of discharge.",5.0,,,,51.377860999999996,-3.12,,"Electric Supply Capacity, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Flat Holm Island,Wales,United Kingdom,,01.06.2006,,,,,,Primary Distribution,"Back up Diesel Generator, 6 kW wind turbine, 2 solar arrays with ~8 kW output",Wind &amp;amp; Sun LTD,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Horse Island Microgrid Project,Electro-chemical,Lead-acid Battery,Lead-acid Battery,Operational,"A tiny island of four cottages, Horse Island&#039;s residents sought to reduce their reliance on their two diesel generators.  In August 2009 the residents contracted Wind &amp;amp; Sun LTD to install a battery bank and 6 wind turbines.",12.0,,,,58.0,-5.0,,"Renewables Capacity Firming, Electric Supply Capacity, Onsite Renewable Generation Shifting, ",Horse Island,"Highland, Scottland",United Kingdom,,01.08.2009,01.08.2009,,,,,,18 kW windfarm,"Aeolus Power, GreenNRG",0.0,,0.0,0.0,,,DD.16.YYYY 17:16:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
