,									     Title, Technology Broad Category, Technology Mid-Type, Technology Sub-Type,Status,Description,Rated Power,Rated Energy,Duration,Modular,Latitude,Longitude,Image,Service / Use Cases,City,State,Country,Announced, Commissioned, Constructed, Decommissioned,isoRto,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Developer,Projected Project Lifetime (Years),Performance, Capital Expenditure,Operating Expense,Research Institution,Research Description,Last Updated,Black Start,Demand Response,Distribution upgrade due to solar,Distribution upgrade due to wind,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality),Grid-Connected Residential (Reliability),Load Following (Tertiary Balancing),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Ramping,Renewables Capacity Firming,Renewables Energy Time Shift,Resiliency,Stationary Transmission/Distribution Upgrade Deferral,Transmission Congestion Relief,Transmission Support,Transmission upgrades due to solar,Transmission upgrades due to wind,Transportable Transmission/Distribution Upgrade Deferral,Transportation Services,Voltage Support
23,Canyon Creek Pumped Hydro Energy Storage Project,Pumped Hydro Storage,Closed-loop Pumped Hydro Storage,Closed-loop Pumped Hydro Storage,Announced,"&lt;p&gt;Canyon Creek is Alberta&#039;s first ever Pumped Hydro Energy Storage project to receive approval from the Alberta Utilities Commission and the Alberta Legislature. It is designed to be closed loop, off-stream energy storage. In its first Phase (currently approved) it will provide 75MW for up to 37 hours of storage. It can be expanded within the same footprint to 400MW for about 7hrs of storage. It is envisioned to be on-line in mid 2021.&lt;/p&gt;",75000.0,,,,53.509661,-117.42264899999999,,"Electric Energy Time Shift, Electric Supply Capacity, Electric Supply Reserve Capacity - Spinning, Electric Supply Reserve Capacity - Non-Spinning, Load Following (Tertiary Balancing), Renewables Capacity Firming, ",Hinton,Alberta,Canada,2/3/16,,,,AESO,Altalink,Investor Owned,Transmission,Grid,Turning Point Generation,50.0,,0.0,0.0,,,3/22/19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Anderson Pumped Storage,Pumped Hydro Storage,Closed-loop Pumped Hydro,Closed-loop Pumped Hydro Storage,Announced,.,80000.0,,,,42.9487655,-115.3,,"Electric Supply Capacity, Electric Supply Reserve Capacity - Non-Spinning, Electric Supply Reserve Capacity - Spinning, Frequency Regulation, ",Elmore County,Oregon,United States,30.01.2014,,,,,,,,,,0.0,.,1000000000.0,0.0,,,DD.51.YYYY 20:51:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Black Canyon Pumped Storage,Pumped Hydro Storage,Pumped Hydro,Pumped Hydro Storage,Announced,.,1000000.0,,,,41.8023171,-107.24,,"Electric Supply Capacity, Electric Supply Reserve Capacity - Non-Spinning, Electric Supply Reserve Capacity - Spinning, Frequency Regulation, ",Carbon County,Nevada,United States,30.01.2014,,,,,,,,,,0.0,.,1000000000.0,0.0,,,DD.47.YYYY 20:47:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Rose Creek Pumped Storage,Pumped Hydro Storage,Pumped Hydro,Pumped Hydro Storage,Announced,"Federal Energy Regulatory Commission put out for notice a September 2013 application from Gridflex Energy LLC for a preliminary permit on a 250-MW pumped storage hydro project in Nevada. Under this permit, Gridflex Energy is proposing to study the feasibility of the Rose Creek Pumped Storage Project, to be located on the Rose Creek Reservoir near the town of Hawthorne in Mineral County, Nev. The sole purpose of a preliminary permit, if issued, is to grant the permit holder priority to file a license application during the permit term.  The proposed project would consist of an expansion of the existing Rose Creek Reservoir as the upper reservoir for this facility, and a new lower reservoir, joined by approximately 12,300 feet of conduit. The estimated annual generation of the Rose Creek Project would be 547.5 gigawatt-hours. The project would also consist of: a 100-foot-high by 1,720-foot-wide roller-compacted concrete or concrete-face rock-fill expansion of the existing Rose Creek Dam; a 40-foot-high by 4,100-foot-wide concrete-face rock-fill or earthen lower reservoir ring embankment; an expanded upper reservoir with a surface area of 35 acres; a lower reservoir with a surface area of 21 acres; a 2,200-foot-long, 9.6-foot-diameter concrete-lined low pressure headrace; a 9,600-foot-long, 9.6-foot-diameter concrete and steel-lined high pressure headrace; a 700-foot-long, 11.6-foot-diameter concrete-lined tailrace; a 200-foot-long by 60-foot-wide by 120-foot-high powerhouse; and a new, 20-mile-long, 230-kV transmission line connected to the 230-kV Dixie Valley Oxbow transmission line or a new, 15-mile-long, 230-kV transmission line connected to Sierra Pacific Power’s Thorne substation.",250000.0,,,,38.434346399999995,-118.49,,"Electric Supply Capacity, Electric Supply Reserve Capacity - Non-Spinning, Electric Supply Reserve Capacity - Spinning, Frequency Regulation, ",Mineral County,Nevada,United States,30.01.2014,,,,,,,,,,0.0,.,1000000000.0,0.0,,,DD.46.YYYY 20:46:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,White Pine Pumped Storage,Pumped Hydro Storage,Closed-loop Pumped Hydro,Closed-loop Pumped Hydro Storage,Announced,"White Pine County could be the home for a new water pumping underground turbine, according to a report by Gridflex Energy. The project will begin doing early engineering, geotechnical, environmental and market studies in 2014, with construction planned for 2017.  The turbine would be located just outside of Ely by Gonder substation and operate entirely on Bureau of Land Management land. Water from an upper basin would be pumped down to a new artificial basin below passing through the turbine to generate energy.",750000.0,,,,37.927351,-114.45,,"Electric Supply Capacity, Electric Supply Reserve Capacity - Non-Spinning, Electric Supply Reserve Capacity - Spinning, Frequency Regulation, ",Ely County,Nevada,United States,30.01.2014,,,,,,,,,,0.0,.,1000000000.0,0.0,,,DD.43.YYYY 20:43:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,San Vicente Pumped Storage,Pumped Hydro Storage,Closed-loop Pumped Hydro,Closed-loop Pumped Hydro Storage,Announced,"The San Vicente Pumped Storage Project would establish a small reservoir above the existing San Vicente Reservoir, and a tunnel system and underground powerhouse to connect the two reservoirs. The powerhouse would contain four 125 MW reversible pump-turbines capable of lifting water to the upper reservoir or generating power as it flows down. During peak energy demand, water would flow down to generate carbon-free power. During off-peak periods, including daytime when renewable wind and solar power supplies exceed demand, water would be pumped to the upper reservoir.This would be a closed loop, off-stream system in an upland area with no natural water body. The exchange of water between the two reservoirs would not consume water or interfere with existing water supply, water quality, fisheries, or recreational uses of the San Vicente Reservoir.",500000.0,,,,35.5069662,-120.67,,"Grid-Connected Commercial (Reliability &amp; Quality), ",San Vicente,California,United States,01.12.2015,,,,CAISO,,,,,,0.0,N.A,0.0,0.0,,,DD.40.YYYY 17:40:31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Amari Pumped Hydro Hybrid Project,Pumped Hydro Storage,Closed-loop Pumped Hydro Storage,Closed-loop Pumped Hydro Storage,Announced,"The Amari hybrid project is a system that combines wind energy (Lassithi prefecture) and Pumped Storage technology (Rethymnon prefecture). The installed capacity of the wind farms is 89.1 MW, where each of the 27 wind generators provides 3.30 MW, whereas the pumped hydro storage system consists of three reversible hydro units (25 MW each) giving 50 MW guaranteed capacity and ten pumps (3.216 MW each).",50000.0,,,,35.240117,24.81,,"Electric Supply Reserve Capacity - Non-Spinning, Frequency Regulation, Load Following (Tertiary Balancing), Ramping, Renewables Capacity Firming, Renewables Energy Time Shift, Resiliency, Voltage Support, Renewables Energy Time Shift, Resiliency, Voltage Support, ",Rethymnon and Lassithi,Crete,Greece,19.06.2014,,,,,Terna Energy S.A.,,,,,25.0,,276720000.0,3950000.0,,,DD.02.YYYY 18:02:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
185,Urdiceto Hydroelectric Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"Spain is facing many challenges trying to integrate a large amount of renewable energy (wind and solar) into real-time dispatch of its power generation to meet electricity demand. To meet sustainable criteria for grid stability and reliability, the major utilities in Spain are looking into alternative storage projects, and especially pumped storage projects. Spain has one of the most dynamic markets for pumped storage in southern Europe with a total installed capacity of 5, 350 MW in operation against a total estimated potential of 13,000 MW. Spain is slated to construct additional projects in the coming decades. One government report on renewable energy plans for 2011-2020 estimates a target installed capacity of about 6,300 MW by 2015 and 8,800 MW by 2020. Iberdrola, Gas Natural Fenosa (GNF), and Endesa are the three main utilities that are expected to undertake these developments to fulfill the government objective.",7200.0,,,,42.6334211,0.22,,"Electric Supply Capacity, Electric Energy Time Shift, ",Bielsa,Aragon,Spain,,01.01.1929,,,,,,Transmission,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Valdencanas Hydroelectric Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"Spain is facing many challenges trying to integrate a large amount of renewable energy (wind and solar) into real-time dispatch of its power generation to meet electricity demand. To meet sustainable criteria for grid stability and reliability, the major utilities in Spain are looking into alternative storage projects, and especially pumped storage projects. Spain has one of the most dynamic markets for pumped storage in southern Europe with a total installed capacity of 5, 350 MW in operation against a total estimated potential of 13,000 MW. Spain is slated to construct additional projects in the coming decades. One government report on renewable energy plans for 2011-2020 estimates a target installed capacity of about 6,300 MW by 2015 and 8,800 MW by 2020. Iberdrola, Gas Natural Fenosa (GNF), and Endesa are the three main utilities that are expected to undertake these developments to fulfill the government objective.",225000.0,,,,40.2268415,-2.33,,"Electric Supply Capacity, Electric Energy Time Shift, ",Valdecanas,Castilla-la Mancha,Spain,,01.01.2064,,,,,,Transmission,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Campo Moro Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"Pumped hydro was first used in Italy and Switzerland in the 1890&#039;s.  In essence, hydro pumped storage is electricity generated from the kinetic energy of falling water. This water is pumped into storage reservoirs using excess power during low demand periods and then released during high demand periods.",36500.0,,,,46.269580299999994,9.87,,"Electric Supply Capacity, Electric Energy Time Shift, ",Lanzada,Lombardia,Italy,,01.01.1965,,,,Enel,Investor Owned,Transmission,,,0.0,,0.0,0.0,,,DD.29.YYYY 17:29:52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
