,									     Title, Technology Broad Category, Technology Mid-Type, Technology Sub-Type,Status,Description,Rated Power,Rated Energy,Duration,Modular,Latitude,Longitude,Image,Service / Use Cases,City,State,Country,Announced, Commissioned, Constructed, Decommissioned,isoRto,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Developer,Projected Project Lifetime (Years),Performance, Capital Expenditure,Operating Expense,Research Institution,Research Description,Last Updated,Black Start,Demand Response,Distribution upgrade due to solar,Distribution upgrade due to wind,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality),Grid-Connected Residential (Reliability),Load Following (Tertiary Balancing),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Ramping,Renewables Capacity Firming,Renewables Energy Time Shift,Resiliency,Stationary Transmission/Distribution Upgrade Deferral,Transmission Congestion Relief,Transmission Support,Transmission upgrades due to solar,Transmission upgrades due to wind,Transportable Transmission/Distribution Upgrade Deferral,Transportation Services,Voltage Support
33,Amsterdam Energy Arena,Electro-chemical,Electro-chemical,Electro-chemical,Contracted,"Under the lead of The Mobility House (TMH) Amsterdam ArenA installs a 3,75MW/4MWh energy storage system that makes the energy management of the stadium more efficient, sustainable and reliable. TMH and Amsterdam ArenA  choose Nissan, Eaton as supplier of the system powered by second-life batteries. The system uses Eaton’s bidirectional inverters and the equivalent of 280 Nissan LEAF batteries stored in racks It will be used for back-up power during major events replacing diesel generators in the future, assisting utilities during periods of high demand and grid stabilization services.",3750.0,,,,52.3143277,4.94,,"Electric Bill Management, Frequency Regulation, Grid-Connected Commercial (Reliability &amp; Quality), Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Resiliency, ",Amsterdam,Netherlands,Netherlands,30.11.2016,02.07.2018,,,TenneT,,,,,,15.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Nextera Wyman,Electro-chemical,Electro-chemical,Electro-chemical,Announced,16.2MW battery energy storage sysetm,16200.0,,,,43.8006208,-70.19,,"Frequency Regulation, ",yarmouth,Maine,United States,01.12.2016,,,,ISO-NE,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,SunEdison Canada Origination LP-IESO,Electro-chemical,Electro-chemical,Electro-chemical,Announced,"SunEdison, Inc reports it has inked a 10-year, 5 MW/20 MWh supply contract with Ontario&#039;s Independent Electricity System Operator (IESO). IESO estimates the costs related with the projects at $9 million a year, and is exploring how storage can be used to shift load and integrate renewable into the province&#039;s grid. The project is slated to get underway by mid 2017 for completion by the year end.",5000.0,,,,51.253775,-85.32,,"Renewables Capacity Firming, Electric Energy Time Shift, ",Ontario,Ontario,Canada,24.11.2015,,01.06.2017,,IESO,,,,,,10.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Solar Energy Corporation of India (SECI)-100MW,Electro-chemical,Electro-chemical,Electro-chemical,Announced,"The Solar Energy Corporation of India (SECI) is expected to release a tender for a 750 MW solar power park at Ananthapuramu, in Andhra Pradesh. The solar power park shall also include provisions for storage of up to 100 MW.",100000.0,,,,14.681887699999997,77.6,,"Voltage Support, ",Ananthapuramu,Andhra Pradesh,India,25.02.2016,,,,,,,,,,0.0,,0.0,0.0,,,DD.52.YYYY 08:52:37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
294,Micro-Grid I-Sare (Battery),Electro-chemical,Electro-chemical,Electro-chemical,Operational,"The project aims to foster the integration of various renewable energy technologies in order to save energy, reduce costs and increase reliability, and in the process open the door to a smart power grid in the region of Gipuzkoa.  In its first stage, the i-Sare micro-grid will serve as a test bench for developing and experimenting with different technologies that will become the future of power grids worldwide.  The project&#039;s other aims are to become a reference for new generations in terms of operating this kind of system and increasing awareness about power. At the same time, it will become a laboratory for testing and certifying solutions that are developed by companies in the sector, leading to the creation of new products that will create jobs with high added value in our region.",0.0,,,,43.318334,-1.98,,"Electric Energy Time Shift, Electric Supply Capacity, ",San Sebastián,Gipuzkoa,Spain,05.11.2013,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,Tierra Atacama Hotel &amp; Spa,Electro-chemical,Electro-chemical,Electro-chemical,Operational,"The PV-Battery system will supply the Hotel Tierra Atacama in San Pedro. The 156kWp PV system was build by Germany &amp;amp; Chile based project developer and EPC company Kraftwerk RPS. The battery storage system (180kVA/335kWh) with a mini-grid management and monitoring system is developed by the German system integrator QINOUS. The system operates totally of grid with 3 already existing diesel gensets in parallel (1 × 200 kVA, 2 × 150 kVA)   more: http://www.kraftwerk-rps.com/dena-chile-2017-de-de-2/",180.0,,,,-23.0,-68.0,,"Black Start, Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, ",San Pedro,El Loa,Chile,,19.09.2017,,,,,,,,KRAFTWERK Renewable Power Solutions GmbH,20.0,,0.0,0.0,,,DD.51.YYYY 00:51:59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,Entergy Chef Menteur Highway 500 kW Energy Storage,Electro-chemical,Electro-chemical,Electro-chemical,Operational,"The 1-megawatt pilot project, at Entergy’s former A.B. Paterson facility near Chef Menteur Highway, was unveiled September 14th, 2016. Its more than 4,200 solar panels will generate enough electricity to power 160 average homes.  This system is hailed as the city&#039;s first large-scale effort to produce solar power. What makes this project unique is that it involves solar panels that are supported by a 500-kilowatt advanced lithium battery to help store energy.",500.0,,,,30.0733718,-89.86,,"Onsite Renewable Generation Shifting, Renewables Capacity Firming, Renewables Energy Time Shift, ",New Orleans,Louisiana,United States,,14.09.2016,05.02.2016,,,,Investor Owned,,1 MW solar plant,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,NRG Energy 0.5 MW,Electro-chemical,Electro-chemical,Electro-chemical,Contracted,"&lt;p&gt;NRG Energy has been awarded a contract with Southern California Edison (SCE) to develop a 2 MWh battery storage system. NRG Energy was one of 3 providers selected in the behind-the-meter energy storage category, which was part of an energy storage procurement by SCE that was significantly larger than the minimum mandated by the California Public Utility Commission (CPUC).&lt;/p&gt;",500.0,,,,33.158093300000004,-117.35,,"Electric Energy Time Shift, ",Carlsbad,California,United States,05.11.2014,,,,CAISO,Southern California Edison,Investor Owned,Transmission,,,0.0,,0.0,0.0,,,DD.03.YYYY 19:03:04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,Seattle City Light Microgrid,Electro-chemical,Electro-chemical,Electro-chemical,Announced,"Seattle City Light will use a grant to help develop a microgrid, which will include a utility-scale battery system, solar panels and emergency generators located at a designated emergency shelter, such as a community center. During normal operations, the solar panels will charge the batteries and provide some of the power to operate the building. When the solar panels are not generating, the batteries can back up the delivery of electricity from Seattle City Light’s distribution grid or, during periods of high demand, could be used to reduce the amount of energy the utility has to purchase to meet customer needs, holding down costs for all its customer-owners. After a storm, earthquake or other emergency, the solar panels, emergency generators and battery system can power a portion of the building even if damage to the distribution grid causes outages in the surrounding area.  “Microgrids show promise for providing backup power during outages, increasing our community’s resiliency after a disaster and making it easier to integrate renewable energy resources, such as solar and wind,” comments Larry Weis, Seattle City Light’s general manager and CEO.  The specific location for the micorgrid has yet to be determined, but Seattle City Light will create a microgrid at a designated emergency shelter, powered by solar energy. During an emergency, this stand-alone power grid will keep fire stations, community centers and communication networks operating.   http://www.seattle.gov/documents/departments/parksandrecreation/briefingpapers/solar%20resiliency%20microgrid%20presentation7.13.pdf",0.0,,,,47.6062095,-122.33,,"Electric Energy Time Shift, Microgrid Capability, Renewables Energy Time Shift, Resiliency, ",Seattle,Washington,United States,18.08.2016,,,,,,Public Owned,,Solar PV,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,Wawona Frozen Foods - MMR Power Solutions,Electro-chemical,Electro-chemical,Electro-chemical,Operational,"Located in California’s fertile San Joaquin Valley, Wawona Frozen Foods specializes in the growing and freezing of fresh fruits. Beginning as a small farm over fifty years ago, Wawona continues today as a grower, processor and major supplier of fruit and fruit products.   Using a battery system for energy storage with one or more inverters operating in parallel with the engine-driven generators presents opportunities for increased reliability, demand charge mitigation, and peak shaving of the load profile.",250.0,,,,36.843832899999995,-119.71,,"Electric Bill Management, Frequency Regulation, On-Site Power, ",Clovis,California,United States,,01.10.2016,,,CAISO,Pacific Gas and Electric,Investor Owned,Secondary Distribution,,MMR Power Solutions,10.0,,0.0,0.0,,,DD.57.YYYY 20:57:02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
