,									     Title, Technology Broad Category, Technology Mid-Type, Technology Sub-Type,Status,Description,Rated Power,Rated Energy,Duration,Modular,Latitude,Longitude,Image,Service / Use Cases,City,State,Country,Announced, Commissioned, Constructed, Decommissioned,isoRto,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Developer,Projected Project Lifetime (Years),Performance, Capital Expenditure,Operating Expense,Research Institution,Research Description,Last Updated,Black Start,Demand Response,Distribution upgrade due to solar,Distribution upgrade due to wind,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality),Grid-Connected Residential (Reliability),Load Following (Tertiary Balancing),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Ramping,Renewables Capacity Firming,Renewables Energy Time Shift,Resiliency,Stationary Transmission/Distribution Upgrade Deferral,Transmission Congestion Relief,Transmission Support,Transmission upgrades due to solar,Transmission upgrades due to wind,Transportable Transmission/Distribution Upgrade Deferral,Transportation Services,Voltage Support
24,Burbank Central Library #3 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8.0,,,,34.1832126,-118.31,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,02.03.2015,,,,,Burbank Water &amp; Power,Public Owned,,,Ice Energy,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Burbank Central Library #2 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8.0,,,,34.1832126,-118.31,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,02.03.2015,,,,,Burbank Water &amp; Power,Public Owned,,,Ice Energy,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Colony Theater #4 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8.0,,,,34.185223,-118.31,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,02.03.2015,,,,,Burbank Water &amp; Power,Public Owned,,,Ice Energy,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Colony Theater #3 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8.0,,,,34.185223,-118.31,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,02.03.2015,,,,,Burbank Water &amp; Power,Public Owned,,,Ice Energy,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Colony Theater #2 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8.0,,,,34.185223,-118.31,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,02.03.2015,,,,,Burbank Water &amp; Power,,,,Ice Energy,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,M. David Paul &amp; Associates #2 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"ce Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8.0,,,,34.1948843,-118.35,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,02.03.2015,,,,,Burbank Water &amp; Power,Public Owned,,,Ice Energy,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,City of Burbank Fire Training #2 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8.0,,,,34.187481,-118.35,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,02.03.2015,,,,,Burbank Water &amp; Power,Public Owned,,,Ice Energy,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Dulles TES Tank for Internet Service Provider,Thermal Storage,Chilled Water Thermal Storage,Chilled Water Thermal Storage,Operational,"In 2006, a large Internet Service Provider (ISP) located in Dulles, VA selected DN Tanks to build a mission critical Thermal Energy Storage (TES) tank to service their data center. The data center which operates 24 hours each day could not afford the consequences that would result if their chilled water cooling system were to experience downtime. This TES tank, now our third built TES tank for this same ISP, was designed to provide back-up cooling for the central plant in the event that the chillers experience unexpected downtime.  The engineer for the project, Dunlap &amp;amp; Partners, designed the revisions to the chilled water system which included the addition of a new TES tank. The tank was specified to be capable of storing enough chilled water equal to the peak cooling load for the facility for a period of two hours. In addition, the chilled water pressure drop through the tank was specified to stay below 3 psi even in the event that the pumps were to require a delivery flow rater of 5,184 gpm which is the maximum flow rate to the building.  Poole &amp;amp; Kent, the mechanical contractor, provided the new chilled water piping, pumps, and valves in addition to overseeing the installation of this TES tank. DN Tanks together with Poole &amp;amp; Kent worked closely with the owner and engineers in ensuring that the TES system was constructed within the agreed upon schedule, and commissioned expeditiously so that the data center would be protected with this reservoir of chilled water.  In August of 2007, representatives of the owner, the mechanical contractor, the engineer, and DN Tanks commissioned the TES system. The commissioning process included shutting down all chillers during the middle of a weekday of the data center operation. Immediately upon shutting down the chillers, the new TES system was energized and chilled water from the TES tank became the sole source of cooling for the facility. The system remained in this mode for 1 hour and 40 minutes, while the TES tank operated flawlessly.",0.0,,,,38.962489899999994,-77.44,,"Resiliency, ",Dulles,Virginia,United States,,01.08.2007,,,PJM,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Mt. San Antonio College Fully Buried Chilled Water TES Tank,Thermal Storage,Chilled Water Thermal Storage,Chilled Water Thermal Storage,Operational,"In 2015, Mt. San Antonio College (SAC) needed to expand their central plant to handle the cooling of the additional buildings, and occupants. As a part of the expansion of the central plant, a 2.0 million gallon chilled water Thermal Energy Storage (TES) tank was designed into the district cooling system by P2S Engineering, Inc.  The tank was designed and built for a useable TES capacity of 20,000 ton-hours and a maximum chilled water flow rate of 5,000 gallons per minute. The tank was designed to provide cooling for the campus during the peak electric period of time during the afternoon, allowing the chiller equipment to de-energize during this time, and permanently reduce the electric demand. Utilizing the TES tank, the campus will permanently reduce the peak electric demand.",0.0,,,,34.04517620000001,-117.85,,"Electric Energy Time Shift, ",Walnut,California,United States,12.01.2018,,,,CAISO,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Burbank Central Library #4 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8.0,,,,34.1832126,-118.31,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,02.03.2015,,,,,Burbank Water &amp; Power,,,,Ice Energy,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
