"									     Title", Technology Broad Category, Technology Mid-Type, Technology Sub-Type,Status,Description,Rated Power,Latitude,Longitude,Image,Service / Use Cases,City,State,Country,Announced, Commissioned, Constructed, Decommissioned,isoRto,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Developer,Projected Project Lifetime (Years),Performance, Capital Expenditure,Operating Expense,Research Institution,Research Description,Last Updated,Black Start,Demand Response,Distribution upgrade due to solar,Distribution upgrade due to wind,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality),Grid-Connected Residential (Reliability),Load Following (Tertiary Balancing),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Ramping,Renewables Capacity Firming,Renewables Energy Time Shift,Resiliency,Stationary Transmission/Distribution Upgrade Deferral,Transmission Congestion Relief,Transmission Support,Transmission upgrades due to solar,Transmission upgrades due to wind,Transportable Transmission/Distribution Upgrade Deferral,Transportation Services,Voltage Support
Blue Solutions - CanalOlympia Cotonou 140kWc Solar Power and 400kWh Battery Storage,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,&lt;p&gt;Show venue and movie theater. 100% &quot;OffGrid&quot; system with 140kWc solar power and 400kWh battery storage.&lt;/p&gt;,100,6.2232966,2.2452077,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Cotonou,,Benin,,12.09.2017,,,,,Investor Owned,Transmission,"Solar PV, diesel generator",www.blue-solutions.com,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Blue Solutions - CanalOlympia Douala 140kWc Solar Power and 400kWh Battery,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,&lt;p&gt;Show venue and movie theater. 100% &quot;OffGrid&quot; system with 140kWc solar power and 400kWh battery storage.&lt;/p&gt;,100,4.319771,9.4243037,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Douala,,Cameroon,,01.18.2017,,,,,Investor Owned,Transmission,"Solar PV, diesel generator",www.blue-solutions.com,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Blue Solutions - CanalOlympia Yaoundé  140kWc Solar Power and 400kWh Battery Storage,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,&lt;p&gt;Show venue and movie theater. 100% &quot;OffGrid&quot; system with 140kWc solar power and 400kWh battery storage.&lt;/p&gt;,100,3.5133412,11.294723,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Yaoundé,,Cameroon,,07.20.2017,,,,,Investor Owned,Transmission,"Solar PV, diesel generator",www.blue-solutions.com,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Blue Solutions - Nîmes 200kWh of LMP Batteries,Electro-chemical,Lead-acid Battery,Advanced Lead-acid Battery,De-Commissioned,&lt;p&gt;Help the integration of solar power plant in order to make the power grid more resilient. 200kWh of LMP batteries.&lt;/p&gt;,50,43.503995,4.21361,,"Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Nîmes,,France ,,,,,,,Investor Owned,Transmission,,www.blue-solutions.com,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Blue Solutions - Tulle 200kWh of LMP Batteries,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,&lt;p&gt;Help the integration of solar power plant in order to make the power grid more resilient. 200kWh of LMP batteries.&lt;/p&gt;,50,45.1539575,1.465519,,"Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Tulle,,France ,,,,,,,Investor Owned,Transmission,,www.blue-solutions.com,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Blue Solutions - Le-Puy-en-Velay 35kWc PV,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,&lt;p&gt;Day and night recharge solution for electric vehicles powered by renewable energy (35kWc PV) combined with 90kWh of LMP batteries.&lt;/p&gt;,20,45.228669,3.532162,,"EV Charging, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Le-Puy-en-Velay,,France ,,,,,,,Investor Owned,Transmission,Solar PV,www.blue-solutions.com,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Blue Solutions - Vaucresson 2MWh LMP,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,&lt;p&gt;2MWh LMP batteries conected to Enedis distribution system 20kVA.&lt;/p&gt;,500,48.5052069,2.1032041,,"Resiliency, ",Vaucresson,,France ,,,,,,,Investor Owned,Transmission,,www.blue-solutions.com,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Blue Solutions - Odet 2MWh LMP Battery System,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,&lt;p&gt;2MWh LMP batteries connected to Enedis distribution system 63kVA.&lt;/p&gt;,500,48.131235,-4.116208,,"Demand Response, Frequency Regulation, Voltage Support, ",Odet,,France ,,,,,,,Investor Owned,Transmission,,www.blue-solutions.com,25,,0,0,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Blue Solutions - Bluezone Cacavelli 140kWc Solar Power Plant,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,"&lt;p&gt;MiniGrid that provides electricity, Wifi and drinking water for a &quot;BlueZone&quot; where economical, social and cultural interactions can happen. 140kWc solar power plant combined with 360kWh LMP batteries and a diesel backup generator. Optimization of the whole components performed by Blue Solutions.&lt;/p&gt;",90,6.1219213,1.1153379,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Lomé,,Togo,,04.26.2014,,,,,Investor Owned,Transmission,"Solar PV, diesel generator",www.blue-solutions.com,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Blue Solutions - Bluezone Dosso 70kWc Solar Power Plant,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,"&lt;p&gt;MiniGrid that provides electricity, Wifi and drinking water for a &quot;BlueZone&quot; where economical, social and cultural interactions can happen. 70kWc solar power plant combined with 180kWh LMP batteries and a diesel backup generator. Optimization of the whole components performed by Blue Solutions.&lt;/p&gt;",45,13.235012,3.1051625,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Dosso,,Niger,,12.18.2014,,,,,Investor Owned,Transmission,"Solar PV, diesel generator",www.blue-solutions.com,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
